[0, 'No State', 'Palau']
[1, 'Diamond Princess', 'Canada']
[1, 'Tibet', 'China']
[1, 'No State', 'Micronesia']
[1, 'Cook Islands', 'New Zealand']
[2, 'No State', 'Kiribati']
[3, 'No State', 'Samoa']
[4, 'No State', 'Marshall Islands']
[4, 'No State', 'Vanuatu']
[5, 'Saint Helena, Ascension and Tristan da Cunha', 'United Kingdom']
[9, 'No State', 'MS Zaandam']
[13, 'Grand Princess', 'Canada']
[13, 'Repatriated Travellers', 'Canada']
[18, 'Qinghai', 'China']
[20, 'No State', 'Solomon Islands']
[23, 'Montserrat', 'United Kingdom']
[27, 'No State', 'Holy See']
[30, 'Saint Pierre and Miquelon', 'France']
[44, 'Unknown', 'China']
[63, 'Macau', 'China']
[66, 'Falkland Islands (Malvinas)', 'United Kingdom']
[77, 'Ningxia', 'China']
[131, 'Northwest Territories', 'Canada']
[134, 'New Caledonia', 'France']
[137, 'Anguilla', 'United Kingdom']
[147, 'Guizhou', 'China']
[169, 'Australian Capital Territory', 'Australia']
[188, 'No State', 'Grenada']
[190, 'Hainan', 'China']
[199, 'Gansu', 'China']
[201, 'Northern Territory', 'Australia']
[214, 'Prince Edward Island', 'Canada']
[235, 'Tasmania', 'Australia']
[249, 'Greenland', 'Denmark']
[255, 'Shanxi', 'China']
[289, 'Guangxi', 'China']
[410, 'Inner Mongolia', 'China']
[441, 'Liaoning', 'China']
[442, 'Tianjin', 'China']
[445, 'Wallis and Futuna', 'France']
[567, 'No State', 'Summer Olympics 2020']
[574, 'Jilin', 'China']
[603, 'Chongqing', 'China']
[647, 'Yukon', 'Canada']
[651, 'Cayman Islands', 'United Kingdom']
[655, 'No State', 'Saint Kitts and Nevis']
[657, 'Nunavut', 'Canada']
[668, 'Shaanxi', 'China']
[712, 'No State', 'Diamond Princess']
[771, 'Fujian', 'China']
[787, 'No State', 'Brunei']
[868, 'South Australia', 'Australia']
[923, 'Shandong', 'China']
[937, 'Jiangxi', 'China']
[953, 'No State', 'Dominica']
[974, 'Yunnan', 'China']
[980, 'Xinjiang', 'China']
[992, 'Faroe Islands', 'Denmark']
[1008, 'Anhui', 'China']
[1061, 'Western Australia', 'Australia']
[1105, 'Beijing', 'China']
[1179, 'Sichuan', 'China']
[1181, 'Hunan', 'China']
[1317, 'Hebei', 'China']
[1336, 'Saint Barthelemy', 'France']
[1367, 'No State', 'Tanzania']
[1397, 'No State', 'Antigua and Barbuda']
[1417, 'Zhejiang', 'China']
[1450, 'Newfoundland and Labrador', 'Canada']
[1518, 'Henan', 'China']
[1570, 'Jiangsu', 'China']
[1613, 'Heilongjiang', 'China']
[1756, 'Bonaire, Sint Eustatius and Saba', 'Netherlands']
[1957, 'Queensland', 'Australia']
[2314, 'No State', 'Saint Vincent and the Grenadines']
[2403, 'Shanghai', 'China']
[2489, 'No State', 'Sao Tome and Principe']
[2530, 'New Brunswick', 'Canada']
